Source,Target,Type,Id,Label,Interval,Weight
Maria_Pia_Calzone,Marco_D'Amore,Undirected,401,Maria_Pia_Calzone,NA,1
Stephen_Colbert,Maria_Thayer,Undirected,402,Stephen_Colbert,NA,1
David_Raizor,Martin_Kove,Undirected,403,David_Raizor,NA,1
Sebastian_Koch,Martina_Gedeck,Undirected,404,Sebastian_Koch,NA,1
Al_Pacino,Mary_Elizabeth_Mastrantonio,Undirected,405,Al_Pacino,NA,1
Tom_Hanks,Matt_Damon,Undirected,406,Tom_Hanks,NA,1
Zack_Ward,Megan_Follows,Undirected,407,Zack_Ward,NA,1
Brendon_Small,Melissa_Bardin_Galsky,Undirected,408,Brendon_Small,NA,1
Tom_Hanks,Michael_Jeter,Undirected,409,Tom_Hanks,NA,1
Tommy_Sheppard,Mickey_Hart,Undirected,410,Tommy_Sheppard,NA,1
Clint_Eastwood,Mike_Colter,Undirected,411,Clint_Eastwood,NA,1
David_Ogden_Stiers,Mike_Farrell,Undirected,412,David_Ogden_Stiers,NA,1
Emma_Stone,Mike_Vogel,Undirected,413,Emma_Stone,NA,1
Robin_Williams,Minnie_Driver,Undirected,414,Robin_Williams,NA,1
Elina_Abai_Kyzy,Mirlan_Abdulayev,Undirected,415,Elina_Abai_Kyzy,NA,1
Bunta_Sugawara,Miyu_Irino,Undirected,416,Bunta_Sugawara,NA,1
Bahare_Seddiqi,Mohammad_Amir_Naji,Undirected,417,Bahare_Seddiqi,NA,1
Christian_Bale,Morgan_Freeman,Undirected,418,Christian_Bale,NA,2
Donatas_Banionis,Natalya_Bondarchuk,Undirected,419,Donatas_Banionis,NA,1
John_F._Kennedy,Neil_Armstrong,Undirected,420,John_F._Kennedy,NA,1
Leonardo_DiCaprio,Nellie_Sciutto,Undirected,421,Leonardo_DiCaprio,NA,1
Matthew_Broderick,Niketa_Calame,Undirected,422,Matthew_Broderick,NA,1
Krystyna_Janda,Olgierd_Lukaszewicz,Undirected,423,Krystyna_Janda,NA,2
Kirsten_Dunst,Oliver_Platt,Undirected,424,Kirsten_Dunst,NA,1
Djimon_Hounsou,Oliver_Reed,Undirected,425,Djimon_Hounsou,NA,1
Bruce_Willis,Olivia_Williams,Undirected,426,Bruce_Willis,NA,1
Kevin_Spacey,Paul_Guilfoyle,Undirected,427,Kevin_Spacey,NA,1
Robert_De_Niro,Paul_Sorvino,Undirected,428,Robert_De_Niro,NA,1
Michael_Biehn,Paul_Winfield,Undirected,429,Michael_Biehn,NA,1
Robert_De_Niro,Peter_Boyle,Undirected,430,Robert_De_Niro,NA,1
Natascha_McElhone,Peter_Krause,Undirected,431,Natascha_McElhone,NA,1
Shahab_Hosseini,Peyman_Moaadi,Undirected,432,Shahab_Hosseini,NA,1
Bruce_Willis,Phil_LaMarr,Undirected,433,Bruce_Willis,NA,1
Amy_Poehler,Phyllis_Smith,Undirected,434,Amy_Poehler,NA,1
Tamannaah_Bhatia,Prabhas,Undirected,435,Tamannaah_Bhatia,NA,1
Nimrat_Kaur,Purab_Kohli,Undirected,436,Nimrat_Kaur,NA,1
Collin_Alfredo_St._Dic,Puti_Sri_Candra_Dewi,Undirected,437,Collin_Alfredo_St._Dic,NA,1
Eileen_Brennan,Ray_Walston,Undirected,438,Eileen_Brennan,NA,1
Leonardo_DiCaprio,Ray_Winstone,Undirected,439,Leonardo_DiCaprio,NA,1
Morgan_Freeman,Reg_E._Cathey,Undirected,440,Morgan_Freeman,NA,1
Alan_Rickman,Reginald_VelJohnson,Undirected,441,Alan_Rickman,NA,1
Al_Pacino,Robert_Duvall,Undirected,442,Al_Pacino,NA,1
Harrison_Ford,Robert_Duvall,Undirected,443,Harrison_Ford,NA,1
Robert_De_Niro,Robert_Duvall,Undirected,444,Robert_De_Niro,NA,1
Marlon_Brando,Rod_Steiger,Undirected,445,Marlon_Brando,NA,1
Brigitte_Helm,Rudolf_Klein-Rogge,Undirected,446,Brigitte_Helm,NA,1
Romola_Garai,Rupert_Evans,Undirected,447,Romola_Garai,NA,1
Natalie_Portman,Rupert_Graves,Undirected,448,Natalie_Portman,NA,1
Dominic_Cooper,Ruth_Negga,Undirected,449,Dominic_Cooper,NA,1
Joe_Morton,S._Epatha_Merkerson,Undirected,450,Joe_Morton,NA,1
Tom_Hanks,Sam_Anderson,Undirected,451,Tom_Hanks,NA,1
Matthew_Ziff,Sam_Medina,Undirected,452,Matthew_Ziff,NA,1
Shirley_Henderson,Sarah_Lancashire,Undirected,453,Shirley_Henderson,NA,1
Chris_Hemsworth,Scarlett_Johansson,Undirected,454,Chris_Hemsworth,NA,1
Christian_Bale,Scarlett_Johansson,Undirected,455,Christian_Bale,NA,1
Zach_Gilford,Scott_Porter,Undirected,456,Zach_Gilford,NA,1
Zack_Ward,Scott_Schwartz,Undirected,457,Zack_Ward,NA,1
Ivana_Baquero,Sergi_López,Undirected,458,Ivana_Baquero,NA,1
Woody_Allen,Shelley_Duvall,Undirected,459,Woody_Allen,NA,1
Maximilian_Schell,Spencer_Tracy,Undirected,460,Maximilian_Schell,NA,1
Ethan_Suplee,Stacy_Keach,Undirected,461,Ethan_Suplee,NA,1
Ryan_Reynolds,Stefan_Kapicic,Undirected,462,Ryan_Reynolds,NA,1
Tobias_Menzies,Stephen_Walters,Undirected,463,Tobias_Menzies,NA,1
Philip_Seymour_Hoffman,Steve_Buscemi,Undirected,464,Philip_Seymour_Hoffman,NA,1
Anwar_Congo,Syamsul_Arifin,Undirected,465,Anwar_Congo,NA,1
Belén_Rueda,Tamar_Novas,Undirected,466,Belén_Rueda,NA,1
Quvenzhané_Wallis,Taran_Killam,Undirected,467,Quvenzhané_Wallis,NA,1
Eric_Idle,Terry_Jones,Undirected,468,Eric_Idle,NA,1
Mitsuo_Iwata,Tesshô_Genda,Undirected,469,Mitsuo_Iwata,NA,1
Claude_Rains,Thomas_Mitchell,Undirected,470,Claude_Rains,NA,1
Donna_Reed,Thomas_Mitchell,Undirected,471,Donna_Reed,NA,1
Hattie_McDaniel,Thomas_Mitchell,Undirected,472,Hattie_McDaniel,NA,1
Brighton_Sharbino,Tim_Guinee,Undirected,473,Brighton_Sharbino,NA,1
Corbin_Bernsen,Timothy_Omundson,Undirected,474,Corbin_Bernsen,NA,1
Jeffrey_Jones,Tom_Hulce,Undirected,475,Jeffrey_Jones,NA,1
Kate_Winslet,Tom_Wilkinson,Undirected,476,Kate_Winslet,NA,1
