CCH_Pounder;Joel_David_Moore;Wes_Studi
Alan_Rickman;Bruce_Willis;Reginald_VelJohnson
Ryan_Gosling;Christian_Bale;Charlie_Talbert
Eddie_Cahill;Noah_Emmerich;Kenneth_Mitchell
Bill_Murray;Anjelica_Huston;Seymour_Cassel
Elizabeth_McGovern;Deborah_Twiss;Michael_Rispoli
Talulah_Riley;Brenda_Blethyn;Simon_Woods
Harrison_Ford;Sean_Young;M._Emmet_Walsh
Jacques_Perrin;Philippe_Labro;
Colin_Salmon;Mary_Elizabeth_Mastrantonio;Jake_McDorman
Scarlett_Johansson;Bill_Murray;Garry_Shandling
John_Belushi;Aretha_Franklin;Ray_Charles
Bruce_Willis;Morgan_Freeman;Dorian_Missick
Dennis_Quaid;Scott_Glenn;Sam_Shepard
Rufus_Sewell;William_Hurt;Bruce_Spence
Jackie_Gleason;Art_Carney;Joyce_Randolph
Robert_Duvall;Michael_Jeter;Julian_Richings
Rob_McElhenney;Kaitlin_Olson;Glenn_Howerton
Holly_Hunter;Tim_Blake_Nelson;Daniel_von_Bargen
Archie_Panjabi;Danny_Huston;Donald_Sumpter
Tom_Cruise;Valeria_Golino;Beth_Grant
Clint_Eastwood;Dreama_Walker;Ahney_Her
Liam_Neeson;Holly_Valance;Xander_Berkeley
Liam_Neeson;Embeth_Davidtz;Caroline_Goodall
Emma_Stone;Bryce_Dallas_Howard;Mike_Vogel
Robert_De_Niro;Billy_Drago;Charles_Martin_Smith
Kelly_Macdonald;Stephen_Root;Barry_Corbin
Michael_Biehn;Dana_Delany;Powers_Boothe
Lee_Remick;Patrick_Troughton;Billie_Whitelaw
Johnny_Depp;Kate_Winslet;Kelly_Macdonald
Robert_De_Niro;Mike_Starr;Paul_Sorvino
Al_Pacino;F._Murray_Abraham;Mary_Elizabeth_Mastrantonio
Cary-Hiroyuki_Tagawa;Joan_Chen;Victor_Wong
Jim_Meskimen;Paul_F._Tompkins;Kevin_Breznahan
Meryl_Streep;Stephen_Dillane;Miranda_Richardson
Robin_Williams;Aaron_Staton;Marian_Seldes
Fanny_Ardant;John_Gielgud;Eric_Cantona
Joseph_Cotten;Richard_Anderson;James_Whitmore
Morgan_Freeman;Jeffrey_DeMunn;Bob_Gunton
Hugh_Jackman;Taron_Egerton;Tim_McInnerny
Justin_Fletcher;John_Sparkes;Kate_Harbour
Stephen_Dillane;Matthew_Knight;Amanda_Tilson
Tom_Hardy;Frank_Grillo;Kevin_Dunn
Tom_Berenger;William_Morgan_Sheppard;James_Patrick_Stuart
Anthony_Hopkins;Antony_Starr;Craig_Hall
Jim_Sturgess;Sean_Buchanan;Liya_Kebede
Keanu_Reeves;Peter_Capaldi;Swoosie_Kurtz
Jeff_Bridges;David_Hyde_Pierce;Harry_Shearer
Christian_Bale;Blythe_Danner;Jean_Simmons
Emma_Stone;Bill_Murray;Derek_Graf
Harrison_Ford;Kenny_Baker;Anthony_Daniels
Scarlett_Johansson;Brian_Johnson;Matt_Letscher
Hugh_Jackman;Taron_Egerton;Tim_McInnerny
Clint_Eastwood;Meryl_Streep;Debra_Monk
Candice_Bergen;Amrish_Puri;John_Gielgud
Dianne_Wiest;Loretta_Devine;Richard_Schiff
Michiel_Huisman;Sebastian_Koch;Christian_Berkel
Gary_Lewis;Dany_Boon;Ian_Richardson
Roy_Scheider;Joe_Spinell;Amidou
Minnie_Driver;Eric_Idle;Trey_Parker
Jennifer_Lawrence;Robert_De_Niro;Bradley_Cooper
Hunter_Parrish;Scott_Glenn;Imelda_Staunton
Harrison_Ford;Karen_Allen;William_Hootkins
Bob_Balaban;Teri_Garr;Melinda_Dillon
Anthony_Hopkins;Scott_Glenn;Anthony_Heald
Mackenzie_Foy;Lili_Taylor;Hayley_McFarland
Quvenzhané_Wallis;Scoot_McNairy;Taran_Killam
Johnny_Depp;Dianne_Wiest;Conchata_Ferrell
Sam_Claflin;Emilia_Clarke;Brendan_Coyle
Roy_Scheider;Fernando_Rey;Tony_Lo_Bianco
David_Oyelowo;Tom_Wilkinson;Oprah_Winfrey
Billy_Crudup;Jamey_Sheridan;Brian_d'Arcy_James
Brad_Pitt;Harriet_Walter;Dermot_Crowley
Philip_Seymour_Hoffman;Meryl_Streep;Carrie_Preston
James_Franco;Denis_O'Hare;Lucas_Grabeel
Drake_Bell;Lili_Taylor;Lisa_Bonet
Kate_Winslet;Kirsten_Dunst;Tom_Wilkinson
